task_id,title,issue_type,track,workstream,parent_id,summary,description,acceptance_criteria,dependencies,related_tasks,related_specs,priority,risk,owner_role,estimate_days,start_week,duration_weeks,start_date,target_date,milestone,status,github_labels,linear_team,linear_project,deliverables,verification,evidence,source_refs,implementation_phase,documentation_volume,claim_refs,experiment_refs,review_required,public_output
AOS-DOCS-000,Program Operations and Specifications epic,Epic,AOS-DOCS,Program,,"Maintain normative specifications, evidence, task data, budgets, risks, gates, and publication.","**Outcome.** Maintain normative specifications, evidence, task data, budgets, risks, gates, and publication.

**Scope.** Produce and integrate: project charter; milestone map; owned backlog; status/evidence dashboard. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","Project has one accountable lead, an approved scope, milestone links, and no orphaned P0/P1 work; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",,,AOS-META-002#document-contract,P1,High,Program Lead,3,0,208,2026-07-13,2030-07-07,Continuous,Backlog,aos-docs;program;p1;epic,Program,Program Operations and Specifications,project charter; milestone map; owned backlog; status/evidence dashboard,monthly project review and gate reconciliation,project update; dependency report; risk and budget delta,,Phase 0,Volume 06,,,,No
AOS-DOCS-001,Create repository and document topology,Task,AOS-DOCS,Documentation,AOS-DOCS-000,"Create the authoritative repository layout, document IDs, templates, and ownership boundaries.","**Outcome.** Create the authoritative repository layout, document IDs, templates, and ownership boundaries.

**Scope.** Produce and integrate: repository directories; CODEOWNERS; templates; README; document registry. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","A fresh clone exposes every canonical area and no authoritative artifact exists only in a private tracker; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",,,AOS-META-004#target-layout;AOS-META-002#document-contract,P0,Low,Program Operations Lead,3,0,1,2026-07-13,2026-07-19,M0,Backlog,aos-docs;documentation;p0;task,Program,Program Operations and Specifications,repository directories; CODEOWNERS; templates; README; document registry,fresh-clone structure and ownership review,tree listing; review record; validation log,,Phase 0,Volume 06,,,,No
AOS-DOCS-002,Implement cross-reference and Wiki publishing convention,Task,AOS-DOCS,Documentation,AOS-DOCS-000,Make document and task links stable in Git repositories and transformable for GitHub Wiki publication.,"**Outcome.** Make document and task links stable in Git repositories and transformable for GitHub Wiki publication.

**Scope.** Produce and integrate: xref syntax; link map; renderer; redirect rules; test fixtures. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","Repository-relative links and machine xrefs resolve to the same target and explicit anchor; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",,AOS-DOCS-001,AOS-META-001#xref-syntax;AOS-META-001#publishing-flow,P0,Medium,Documentation Engineer,5,0,2,2026-07-13,2026-07-26,M0,Backlog,aos-docs;documentation;p0;task,Program,Program Operations and Specifications,xref syntax; link map; renderer; redirect rules; test fixtures,render repository docs into flat Wiki preview and crawl links,renderer log; broken-link count zero; sample redirects,,Phase 0,Volume 06,,,,No
AOS-DOCS-003,Normalize source archive into normative specifications,Task,AOS-DOCS,Documentation,AOS-DOCS-000,Extract valid requirements and evidence from the supplied archive without retaining contradictory historical narrative.,"**Outcome.** Extract valid requirements and evidence from the supplied archive without retaining contradictory historical narrative.

**Scope.** Produce and integrate: normalized specs; provenance note; supersession map; unresolved-claim list. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","Every retained requirement has a destination and every materially changed claim is represented normatively or in the claim register; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",,AOS-DOCS-001,AOS-META-003#claim-discipline;AOS-GOV-001#change-types,P0,Medium,Lead Technical Writer,10,0,3,2026-07-13,2026-08-02,M0,Backlog,aos-docs;documentation;p0;task,Program,Program Operations and Specifications,normalized specs; provenance note; supersession map; unresolved-claim list,architecture and product reviewers sample every source family,review checklist; mapping table; rejected/retained claim list,,Phase 0,Volume 06,,,,No
AOS-DOCS-004,Establish source and literature register,Task,AOS-DOCS,Research,AOS-DOCS-000,"Create a maintainable official-source register for architecture, hardware, legal, standards, tooling, and prior art.","**Outcome.** Create a maintainable official-source register for architecture, hardware, legal, standards, tooling, and prior art.

**Scope.** Produce and integrate: source-register.yaml; annotated source table; freshness policy. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","Every time-sensitive or non-obvious planning fact cites an identified source with authority and scope limitation; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",,AOS-DOCS-001,AOS-RES-002#source-register;AOS-META-003#source-record,P0,Low,Research Lead,8,0,3,2026-07-13,2026-08-02,M0,Backlog,aos-docs;research;p0;task,Program,Program Operations and Specifications,source-register.yaml; annotated source table; freshness policy,URL/schema validation and authority/source-scope review,source validation report; review comments,,Phase 0,Volume 04,,,,No
AOS-DOCS-005,Establish claim verification register,Task,AOS-DOCS,Research,AOS-DOCS-000,"Convert assumptions and absolute statements into bounded, testable, state-controlled claims.","**Outcome.** Convert assumptions and absolute statements into bounded, testable, state-controlled claims.

**Scope.** Produce and integrate: claim register; owner/gate mappings; change procedure. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","Every hypothesis has an experiment or decision task and every contradicted claim is absent from normative promises; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",,AOS-DOCS-003;AOS-DOCS-004,AOS-RES-003#claim-states;AOS-META-003#claim-discipline,P0,Medium,Evidence Lead,7,1,2,2026-07-20,2026-08-02,M0,Backlog,aos-docs;research;p0;task,Program,Program Operations and Specifications,claim register; owner/gate mappings; change procedure,"review all hardware, camera, cellular, backup, agent, and portability claims",claim coverage report; unowned-claim list zero,,Phase 0,Volume 04,,,,No
AOS-DOCS-006,Generate canonical task and import datasets,Task,AOS-DOCS,Planning,AOS-DOCS-000,"Create tracker-neutral work data with detailed scope, acceptance, dependencies, dates, milestones, and specification links.","**Outcome.** Create tracker-neutral work data with detailed scope, acceptance, dependencies, dates, milestones, and specification links.

**Scope.** Produce and integrate: tasks.csv; Linear/GitHub imports; projects/milestones/dependencies CSVs; task catalog. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","All IDs are unique, all dependencies resolve without cycles, and each non-epic has detailed acceptance/evidence fields; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",AOS-DOCS-001,AOS-DOCS-003,AOS-PLAN-009#canonical-schema;AOS-PLAN-008#import-flow,P0,Medium,Program Operations Lead,8,1,2,2026-07-20,2026-08-02,M0,Backlog,aos-docs;planning;p0;task,Program,Program Operations and Specifications,tasks.csv; Linear/GitHub imports; projects/milestones/dependencies CSVs; task catalog,schema/dependency/date/xref validator and sample import reconciliation,validation log; row counts; reconciliation sample,,Phase 0,Volume 06,,,,No
AOS-DOCS-007,Implement document and task validators,Task,AOS-DOCS,Tooling,AOS-DOCS-000,"Fail CI on broken cross-references, anchors, task edges, schema drift, weak required fields, and generated-artifact mismatch.","**Outcome.** Fail CI on broken cross-references, anchors, task edges, schema drift, weak required fields, and generated-artifact mismatch.

**Scope.** Produce and integrate: validate_docs.py; validate_tasks.py; CI workflow example; fixtures. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","Validator detects unknown documents/anchors/tasks, cycles, duplicate IDs, invalid dates and missing acceptance evidence; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",,AOS-DOCS-002;AOS-DOCS-006,AOS-META-001#validation;AOS-PLAN-009#validation,P0,Low,Build/Documentation Engineer,6,1,2,2026-07-20,2026-08-02,M0,Backlog,aos-docs;tooling;p0;task,Program,Program Operations and Specifications,validate_docs.py; validate_tasks.py; CI workflow example; fixtures,positive and intentionally broken fixture runs,CI logs proving expected pass/fail cases,,Phase 0,Volume 06,,,,No
AOS-DOCS-008,"Baseline roadmap, Gantt, milestones, and dependency model",Task,AOS-DOCS,Planning,AOS-DOCS-000,Publish a dependency-driven multi-track schedule that can be rendered in Markdown and Linear.,"**Outcome.** Publish a dependency-driven multi-track schedule that can be rendered in Markdown and Linear.

**Scope.** Produce and integrate: Mermaid Gantt; milestone table; project date ranges; dependency view. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","Milestones have dated exit evidence and no hardware target is the sole dependency for core/product progress; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",,AOS-DOCS-006,AOS-PLAN-002#gantt;AOS-PLAN-008#gantt-in-linear,P1,Medium,Program Lead,5,1,2,2026-07-20,2026-08-02,M0,Backlog,aos-docs;planning;p1;task,Program,Program Operations and Specifications,Mermaid Gantt; milestone table; project date ranges; dependency view,schedule consistency and critical-dependency review,baseline schedule export; review decision,,Phase 0,Volume 06,,,,No
AOS-DOCS-009,"Baseline budget, procurement, risk, and gate registers",Task,AOS-DOCS,Program Controls,AOS-DOCS-000,"Tie money, equipment, risks, stop criteria, and funding tranches to evidence-producing work.","**Outcome.** Tie money, equipment, risks, stop criteria, and funding tranches to evidence-producing work.

**Scope.** Produce and integrate: budget ranges; first order; risk register; gate packets; approval thresholds. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.","Every first purchase and Critical/High risk maps to a task, owner, experiment/gate, and contingency; Named deliverables are committed or stored under stable IDs with owner and reviewer; The stated verification passes on the declared target or the task records a bounded negative result; Affected specifications, claims, risks, dependencies, and follow-up tasks are updated",,AOS-DOCS-005;AOS-DOCS-008,AOS-HW-009#budget-scenarios;AOS-PLAN-005#top-risks;AOS-PLAN-006#technical-gates,P1,Medium,Program Lead,6,1,3,2026-07-20,2026-08-09,M0,Backlog,aos-docs;program-controls;p1;task,Program,Program Operations and Specifications,budget ranges; first order; risk register; gate packets; approval thresholds,finance/procurement/technical/legal review,approved tranche; risk owner list; gate checklist,,Phase 0,Volume 07,,,,No
