task_id,reference_type,reference
AOS-DOCS-000,spec,AOS-META-002#document-contract
AOS-DOCS-001,spec,AOS-META-004#target-layout
AOS-DOCS-001,spec,AOS-META-002#document-contract
AOS-DOCS-002,spec,AOS-META-001#xref-syntax
AOS-DOCS-002,spec,AOS-META-001#publishing-flow
AOS-DOCS-003,spec,AOS-META-003#claim-discipline
AOS-DOCS-003,spec,AOS-GOV-001#change-types
AOS-DOCS-004,spec,AOS-RES-002#source-register
AOS-DOCS-004,spec,AOS-META-003#source-record
AOS-DOCS-005,spec,AOS-RES-003#claim-states
AOS-DOCS-005,spec,AOS-META-003#claim-discipline
AOS-DOCS-006,spec,AOS-PLAN-009#canonical-schema
AOS-DOCS-006,spec,AOS-PLAN-008#import-flow
AOS-DOCS-007,spec,AOS-META-001#validation
AOS-DOCS-007,spec,AOS-PLAN-009#validation
AOS-DOCS-008,spec,AOS-PLAN-002#gantt
AOS-DOCS-008,spec,AOS-PLAN-008#gantt-in-linear
AOS-DOCS-009,spec,AOS-HW-009#budget-scenarios
AOS-DOCS-009,spec,AOS-PLAN-005#top-risks
AOS-DOCS-009,spec,AOS-PLAN-006#technical-gates
AOS-DOCS-010,spec,AOS-BRIEF#executive-decision
AOS-DOCS-010,spec,AOS-README#start-here
AOS-DOCS-011,spec,AOS-META-001#publishing-flow
AOS-DOCS-011,spec,AOS-META-004#generated-artifacts
AOS-DOCS-012,spec,AOS-GOV-001#release-baseline
AOS-DOCS-012,spec,AOS-MANIFEST#validation-status
AOS-DOCS-013,spec,AOS-PLAN-008#agent-rules
AOS-DOCS-013,spec,AOS-GOV-001#release-baseline
AOS-DOCS-020,spec,AOS-SRC-README#immutability
AOS-DOCS-020,spec,AOS-RES-005#authority
AOS-DOCS-020,source,AOS-SRC-NINDEX
AOS-DOCS-021,spec,AOS-SRC-N001#thesis
AOS-DOCS-021,spec,AOS-SRC-N002#downstream
AOS-DOCS-021,source,AOS-SRC-N001
AOS-DOCS-021,source,AOS-SRC-N002
AOS-DOCS-022,spec,AOS-RES-005#authority
