contact_id,priority,category,target,first_ask,desired_result,owner_role,start,prerequisite,fallback
CNT-001,P0,Legal counsel,Software/IP and reverse-engineering counsel in each active jurisdiction,"Written method boundary for owned-device observation, anti-circumvention, interoperability, clean-room roles, publication and contributor eligibility",Approved jurisdiction matrix and research protocol,Legal/Compliance Lead,Day 0,Entity/confidentiality setup,Stop protected-device work; use public documentation and documented hardware only
CNT-002,P0,Trademark counsel,Trademark search and prosecution counsel,"Clear working and fallback marks across intended classes, languages, domains and package namespaces",Written clearance decision and filing plan,Brand/Legal Lead,Day 0,Shortlist of marks,Continue using the internal Agent OS working name without public brand launch
CNT-003,P0,Capability/microkernel review,seL4 Foundation / Trustworthy Systems and independent capability-system researchers,"Paid review of kernel object scope, capability semantics, IPC, scheduler and assurance plan","Review report, research contacts and bounded collaboration",Kernel Lead,Weeks 2–6,Kernel model and questions,Independent academic/industry review panel
CNT-004,P1,Capability system engineering,Genode Labs and related component-framework experts,"Review service composition, resource donation, driver isolation and interface boundaries",Architecture feedback or consulting proposal,Platform Lead,Weeks 4–10,IDL and board-package draft,Internal conformance review against published material
CNT-005,P0,Documented boards,BeagleBoard.org Foundation,"Board revision, boot/recovery/debug, schematics, manufacturing files, camera/display expansion and community-maintainer channel",Named technical/community contact and supported evaluation path,Open Hardware Lead,Weeks 1–4,Target dossier template,Purchase retail units and rely on public design sources
CNT-006,P0,Silicon vendor,Texas Instruments processor FAE / E2E support,"AM62/AM67 technical-reference, errata, boot, power, display, camera/ISP, accelerator and redistribution/support boundaries","Named FAE, evaluation material and escalation path",Documented Board Lead,Weeks 2–8,Specific board and questions,Restrict port to publicly documented blocks and record gaps
CNT-007,P1,Silicon vendor,NXP i.MX applications processor FAE,"i.MX 8M Plus boot, display, camera ISP, NPU, power, secure boot, lifecycle and documentation-access package",Evaluation agreement and technical support quote,Vision Board Engineer,Weeks 6–14,Camera-board comparison,Use TI/PiSP path for reference pipeline
CNT-008,P1,Camera reference platform,Raspberry Pi camera engineering/documentation and ecosystem partners,"PiSP/libcamera public interface map, sensor-module access, tuning/calibration and permissible reuse/publication",Documented camera bench and community contact,Camera Lead,Weeks 6–14,Camera experiment plan,Use public documentation and retail camera modules
CNT-009,P1,Open phone,PINE64 and postmarketOS device maintainers,"Exact PinePhone Pro revisions, schematics, boot, modem, power, display, audio, camera limitations and test knowledge",Maintained target dossier and shared regression knowledge,Open Phone Lead,Weeks 4–12,Purchased development units,Independent public-source bring-up with explicit Experimental support level
CNT-010,P2,Open phone,Purism / Librem 5 technical and business contacts,"Schematics/source scope, modem separation, boot, power, display/camera documentation, supply and evaluation terms",Comparative phone-form target decision,Open Hardware Lead,Months 3–6,Scorecard threshold,Do not acquire if unique evidence is insufficient
CNT-011,P1,Semi-open phone,Fairphone open-source and business-development contacts,"Supported SKU, unlock/recovery, source package, binary/firmware rights, lifecycle, camera/power boundaries and evaluation units",Written evaluation rights and technical/business contact,Quality Hardware Lead,Months 2–5,Semi-open dossier,Retail evaluation only; no maintained target claim
CNT-012,P1,Semi-open phone,Sony Open Devices program,"Current supported Xperia SKU, binaries/source, boot/recovery, display/camera/radio limitations, lifecycle and evaluation route",Program-compatible test target or documented rejection,Quality Hardware Lead,Months 2–5,Semi-open dossier,Keep as source/reference only
CNT-013,P1,Pixel public boundary,Google AOSP/Pixel public documentation and security channels as applicable,"Clarification pointers for public unlock/restoration, responsible disclosure and published interfaces; no request for private implementation material",Verified public boundary and disclosure route,Pixel Track Lead,Weeks 2–10,Counsel-approved questions,Use only published material and owned-device black-box evidence
CNT-014,P1,Image sensors/modules,"Sony Semiconductor Solutions, onsemi, OmniVision and module integrators subject to access","Sensor/module datasheet, modes, controls, calibration, lens/actuator/OIS, supply/lifecycle, NDA/publication and support options",At least two replaceable documented module paths,Camera Partner Lead,Months 3–9,Camera requirements and volume range,Use documented evaluation modules and software pipeline
