External ID,Title,Description,Status,Priority,Assignee,Project,Team,Labels,Parent External ID,Start Date,Due Date,Milestone,Estimate Days
AOS-DOCS-000,Program Operations and Specifications epic,"**Outcome.** Maintain normative specifications, evidence, task data, budgets, risks, gates, and publication.

**Scope.** Produce and integrate: project charter; milestone map; owned backlog; status/evidence dashboard. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- Project has one accountable lead, an approved scope, milestone links, and no orphaned P0/P1 work
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
project charter; milestone map; owned backlog; status/evidence dashboard

## Verification
monthly project review and gate reconciliation

## Evidence
project update; dependency report; risk and budget delta

## Traceability
Specs: AOS-META-002#document-contract
Sources: none
Claims: none
Experiments: none",Backlog,P1,,Program Operations and Specifications,Program,"aos-docs,program,p1,epic",,2026-07-13,2030-07-07,Continuous,3
AOS-DOCS-001,Create repository and document topology,"**Outcome.** Create the authoritative repository layout, document IDs, templates, and ownership boundaries.

**Scope.** Produce and integrate: repository directories; CODEOWNERS; templates; README; document registry. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- A fresh clone exposes every canonical area and no authoritative artifact exists only in a private tracker
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
repository directories; CODEOWNERS; templates; README; document registry

## Verification
fresh-clone structure and ownership review

## Evidence
tree listing; review record; validation log

## Traceability
Specs: AOS-META-004#target-layout;AOS-META-002#document-contract
Sources: none
Claims: none
Experiments: none",Backlog,P0,,Program Operations and Specifications,Program,"aos-docs,documentation,p0,task",AOS-DOCS-000,2026-07-13,2026-07-19,M0,3
AOS-DOCS-002,Implement cross-reference and Wiki publishing convention,"**Outcome.** Make document and task links stable in Git repositories and transformable for GitHub Wiki publication.

**Scope.** Produce and integrate: xref syntax; link map; renderer; redirect rules; test fixtures. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- Repository-relative links and machine xrefs resolve to the same target and explicit anchor
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
xref syntax; link map; renderer; redirect rules; test fixtures

## Verification
render repository docs into flat Wiki preview and crawl links

## Evidence
renderer log; broken-link count zero; sample redirects

## Traceability
Specs: AOS-META-001#xref-syntax;AOS-META-001#publishing-flow
Sources: none
Claims: none
Experiments: none",Backlog,P0,,Program Operations and Specifications,Program,"aos-docs,documentation,p0,task",AOS-DOCS-000,2026-07-13,2026-07-26,M0,5
AOS-DOCS-003,Normalize source archive into normative specifications,"**Outcome.** Extract valid requirements and evidence from the supplied archive without retaining contradictory historical narrative.

**Scope.** Produce and integrate: normalized specs; provenance note; supersession map; unresolved-claim list. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- Every retained requirement has a destination and every materially changed claim is represented normatively or in the claim register
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
normalized specs; provenance note; supersession map; unresolved-claim list

## Verification
architecture and product reviewers sample every source family

## Evidence
review checklist; mapping table; rejected/retained claim list

## Traceability
Specs: AOS-META-003#claim-discipline;AOS-GOV-001#change-types
Sources: none
Claims: none
Experiments: none",Backlog,P0,,Program Operations and Specifications,Program,"aos-docs,documentation,p0,task",AOS-DOCS-000,2026-07-13,2026-08-02,M0,10
AOS-DOCS-004,Establish source and literature register,"**Outcome.** Create a maintainable official-source register for architecture, hardware, legal, standards, tooling, and prior art.

**Scope.** Produce and integrate: source-register.yaml; annotated source table; freshness policy. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- Every time-sensitive or non-obvious planning fact cites an identified source with authority and scope limitation
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
source-register.yaml; annotated source table; freshness policy

## Verification
URL/schema validation and authority/source-scope review

## Evidence
source validation report; review comments

## Traceability
Specs: AOS-RES-002#source-register;AOS-META-003#source-record
Sources: none
Claims: none
Experiments: none",Backlog,P0,,Program Operations and Specifications,Program,"aos-docs,research,p0,task",AOS-DOCS-000,2026-07-13,2026-08-02,M0,8
AOS-DOCS-005,Establish claim verification register,"**Outcome.** Convert assumptions and absolute statements into bounded, testable, state-controlled claims.

**Scope.** Produce and integrate: claim register; owner/gate mappings; change procedure. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- Every hypothesis has an experiment or decision task and every contradicted claim is absent from normative promises
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
claim register; owner/gate mappings; change procedure

## Verification
review all hardware, camera, cellular, backup, agent, and portability claims

## Evidence
claim coverage report; unowned-claim list zero

## Traceability
Specs: AOS-RES-003#claim-states;AOS-META-003#claim-discipline
Sources: none
Claims: none
Experiments: none",Backlog,P0,,Program Operations and Specifications,Program,"aos-docs,research,p0,task",AOS-DOCS-000,2026-07-20,2026-08-02,M0,7
AOS-DOCS-006,Generate canonical task and import datasets,"**Outcome.** Create tracker-neutral work data with detailed scope, acceptance, dependencies, dates, milestones, and specification links.

**Scope.** Produce and integrate: tasks.csv; Linear/GitHub imports; projects/milestones/dependencies CSVs; task catalog. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- All IDs are unique, all dependencies resolve without cycles, and each non-epic has detailed acceptance/evidence fields
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
tasks.csv; Linear/GitHub imports; projects/milestones/dependencies CSVs; task catalog

## Verification
schema/dependency/date/xref validator and sample import reconciliation

## Evidence
validation log; row counts; reconciliation sample

## Traceability
Specs: AOS-PLAN-009#canonical-schema;AOS-PLAN-008#import-flow
Sources: none
Claims: none
Experiments: none",Backlog,P0,,Program Operations and Specifications,Program,"aos-docs,planning,p0,task",AOS-DOCS-000,2026-07-20,2026-08-02,M0,8
AOS-DOCS-007,Implement document and task validators,"**Outcome.** Fail CI on broken cross-references, anchors, task edges, schema drift, weak required fields, and generated-artifact mismatch.

**Scope.** Produce and integrate: validate_docs.py; validate_tasks.py; CI workflow example; fixtures. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- Validator detects unknown documents/anchors/tasks, cycles, duplicate IDs, invalid dates and missing acceptance evidence
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
validate_docs.py; validate_tasks.py; CI workflow example; fixtures

## Verification
positive and intentionally broken fixture runs

## Evidence
CI logs proving expected pass/fail cases

## Traceability
Specs: AOS-META-001#validation;AOS-PLAN-009#validation
Sources: none
Claims: none
Experiments: none",Backlog,P0,,Program Operations and Specifications,Program,"aos-docs,tooling,p0,task",AOS-DOCS-000,2026-07-20,2026-08-02,M0,6
AOS-DOCS-008,"Baseline roadmap, Gantt, milestones, and dependency model","**Outcome.** Publish a dependency-driven multi-track schedule that can be rendered in Markdown and Linear.

**Scope.** Produce and integrate: Mermaid Gantt; milestone table; project date ranges; dependency view. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- Milestones have dated exit evidence and no hardware target is the sole dependency for core/product progress
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
Mermaid Gantt; milestone table; project date ranges; dependency view

## Verification
schedule consistency and critical-dependency review

## Evidence
baseline schedule export; review decision

## Traceability
Specs: AOS-PLAN-002#gantt;AOS-PLAN-008#gantt-in-linear
Sources: none
Claims: none
Experiments: none",Backlog,P1,,Program Operations and Specifications,Program,"aos-docs,planning,p1,task",AOS-DOCS-000,2026-07-20,2026-08-02,M0,5
AOS-DOCS-009,"Baseline budget, procurement, risk, and gate registers","**Outcome.** Tie money, equipment, risks, stop criteria, and funding tranches to evidence-producing work.

**Scope.** Produce and integrate: budget ranges; first order; risk register; gate packets; approval thresholds. The work includes negative and failure-path behavior, documentation, ownership, and downstream interface impact.

**Boundary.** Treat specifications and canonical data as generated/reviewed source artifacts with stable IDs, validation, and no undocumented tracker-only truth.

**Downstream trust.** Consumers may depend on the result only after the stated verification passes and the evidence artifact is linked. Unknowns become claim or experiment records rather than implicit promises.

## Acceptance criteria
- Every first purchase and Critical/High risk maps to a task, owner, experiment/gate, and contingency
- Named deliverables are committed or stored under stable IDs with owner and reviewer
- The stated verification passes on the declared target or the task records a bounded negative result
- Affected specifications, claims, risks, dependencies, and follow-up tasks are updated

## Deliverables
budget ranges; first order; risk register; gate packets; approval thresholds

## Verification
finance/procurement/technical/legal review

## Evidence
approved tranche; risk owner list; gate checklist

## Traceability
Specs: AOS-HW-009#budget-scenarios;AOS-PLAN-005#top-risks;AOS-PLAN-006#technical-gates
Sources: none
Claims: none
Experiments: none",Backlog,P1,,Program Operations and Specifications,Program,"aos-docs,program-controls,p1,task",AOS-DOCS-000,2026-07-20,2026-08-09,M0,6
