id,title,url,authority,domain,access,note
SRC-001,seL4 — About and Verified Microkernel,https://sel4.systems/About/,Primary project,Microkernel,Public,"Capability-based microkernel, verification claims, deployment model."
SRC-002,seL4 Reference Manual,https://sel4.systems/Info/Docs/seL4-manual-latest.pdf,Primary specification,Microkernel,Public,"Kernel objects, capabilities, IPC, scheduling contexts and architecture semantics."
SRC-003,Fuchsia Kernel Concepts,https://fuchsia.dev/fuchsia-src/concepts/kernel,Official documentation,Microkernel,Public,"Zircon objects, handles, rights, syscalls, signals, and policy boundaries."
SRC-004,Fuchsia Interface Definition Language,https://fuchsia.dev/fuchsia-src/development/languages/fidl,Official documentation,IDL,Public,Versioned IPC interface design and language bindings.
SRC-005,Fuchsia Component Framework,https://fuchsia.dev/fuchsia-src/concepts/components/v2/introduction,Official documentation,Components,Public,"Component lifecycle, manifests, capability routing, and isolated execution."
SRC-006,Genode Foundations and Architecture,https://genode.org/documentation/general-overview/index,Primary project,Capability OS,Public,Capability-oriented user-space composition across kernels.
SRC-007,"KeyKOS — A Secure, High-Performance Environment",https://www.cis.upenn.edu/~KeyKOS/,Historical primary archive,Capability OS,Public,"Capability persistence, confinement, and object model prior art."
SRC-008,CapROS Project,https://www.capros.org/,Primary project,Capability OS,Public,Persistent capability system descended from EROS/KeyKOS.
SRC-009,MINIX 3 Architecture,https://wiki.minix3.org/doku.php?id=www:documentation:start,Primary project,Microkernel,Public,"User-space drivers, service restart, and fault isolation."
SRC-010,QNX Neutrino System Architecture,https://www.qnx.com/developers/docs/8.0/com.qnx.doc.neutrino.sys_arch/topic/about.html,Vendor documentation,Microkernel,Public,Production microkernel/message-passing architecture reference.
SRC-011,Tock OS Design,https://tockos.org/documentation/design,Primary project,Embedded OS,Public,"Memory-safe kernel design, capsules, processes, and grant regions."
SRC-012,Hubris Reference,https://hubris.oxide.computer/,Primary project,Embedded OS,Public,"Task isolation, static configuration, fault handling, and Rust embedded practice."
SRC-013,Theseus OS Book,https://www.theseus-os.com/Theseus/book/,Primary project,Research OS,Public,Language-based modularity and live evolution in Rust.
SRC-014,Redox OS Book,https://doc.redox-os.org/book/,Primary project,Rust OS,Public,"Rust OS implementation, user-space services, and scheme abstraction."
SRC-015,Barrelfish — The Multikernel,https://www.barrelfish.org/,Primary research project,Research OS,Public,Explicit distributed-system treatment of heterogeneous multicore machines.
SRC-016,CHERI Project,https://www.cl.cam.ac.uk/research/security/ctsrd/cheri/,Primary research project,Hardware capability,Public,"Architectural capabilities, memory safety, compartmentalization, and hybrid migration."
SRC-017,The Protection of Information in Computer Systems,https://www.cs.virginia.edu/~evans/cs551/saltzer/,Foundational paper,Security principles,Public,"Least privilege, complete mediation, economy of mechanism, and design principles."
SRC-018,The Confused Deputy,https://www.cis.upenn.edu/~KeyKOS/ConfusedDeputy.html,Foundational paper,Capabilities,Public,Why authority should be explicit and object-specific.
SRC-019,Android Bootloader Locking and Unlocking,https://source.android.com/docs/core/architecture/bootloader/locking_unlocking,Official documentation,Android/Pixel,Public,"Unlock state, user confirmation, data wipe, and verified boot relationship."
SRC-020,Google Pixel Factory Images,https://developers.google.com/android/images,Official documentation,Pixel,Terms apply,"Factory images, restoration workflow, and licensing/terms boundary."
SRC-021,Pixel 9 Technical Specifications,https://store.google.com/product/pixel_9_specs,Official product page,Pixel,Public,"Reference display, camera, SoC, battery, and device features; verify regional page/SKU."
SRC-022,Android Camera HAL3 Requests,https://source.android.com/docs/core/camera/camera3_requests_hal,Official documentation,Camera,Public,"Capture requests/results, vendor pipeline responsibilities, metadata and controls."
SRC-023,Android IMS Service,https://source.android.com/docs/core/connect/ims,Official documentation,Telephony,Public,"IMS architecture, vendor/carrier implementation boundaries, provisioning and features."
SRC-024,Android Verified Boot,https://source.android.com/docs/security/features/verifiedboot,Official documentation,Boot security,Public,"Root of trust, rollback protection, verification and bootloader integration."
SRC-025,Android Keystore System,https://developer.android.com/privacy-and-security/keystore,Official documentation,Key security,Public,Non-exportable and hardware-backed key behavior.
SRC-026,Fairphone Open Source,https://support.fairphone.com/hc/en-us/articles/9979180437393-Fairphone-Open-Source,Official vendor documentation,Semi-open phone,Public,Published source resources and vendor support boundaries.
SRC-027,Fairphone Bootloader Unlocking,https://support.fairphone.com/hc/en-us/articles/10492476238865-Manage-the-bootloader,Official vendor documentation,Semi-open phone,Public,Unlock workflow and device conditions; verify current generation and region.
SRC-028,Sony Open Devices Program,https://developer.sony.com/open-source/aosp-on-xperia-open-devices,Official vendor program,Semi-open phone,Public,"AOSP binaries, build guidance, supported Xperia devices, and limitations."
SRC-029,PinePhone Pro Product and Specifications,https://pine64.org/devices/pinephone_pro/,Official vendor/project,Open phone,Public,"RK3399S phone-form hardware, modem separation, specifications and community status."
SRC-030,PinePhone Pro Documentation,https://pine64.org/documentation/PinePhone_Pro/,Official project documentation,Open phone,Public,"Schematics, hardware details, software images and development notes."
SRC-031,Librem 5 Hardware Specifications,https://puri.sm/products/librem-5/,Official vendor,Open phone,Public,"Modular modem/Wi-Fi, kill switches, repairability and product characteristics."
SRC-032,postmarketOS Devices and Porting,https://wiki.postmarketos.org/wiki/Devices,Primary community project,Mobile Linux prior art,Public,"Cross-device bring-up knowledge, maturity classifications, and hardware limitations."
SRC-033,BeaglePlay Documentation,https://docs.beagleboard.org/latest/boards/beagleplay/,Official board documentation,Documented board,Public,"AM625 board, schematics, expansion, debug and reference material."
SRC-034,BeagleY-AI Documentation,https://docs.beagleboard.org/latest/boards/beagley/ai/,Official board documentation,Documented board,Public,Open-design AM67A board with camera/vision capabilities.
SRC-035,TI AM625 Product Page and Technical Documents,https://www.ti.com/product/AM625,Official silicon vendor,SoC,Public/registration varies,"Processor, peripherals, power, safety and technical-reference links."
SRC-036,TI AM62A Product Page and Technical Documents,https://www.ti.com/product/AM62A7,Official silicon vendor,Camera SoC,Public/registration varies,"Vision/camera-oriented SoC, ISP and accelerator documentation links."
SRC-037,NXP i.MX 8M Plus Applications Processor,https://www.nxp.com/products/processors-and-microcontrollers/arm-processors/i-mx-applications-processors/i-mx-8-applications-processors/i-mx-8m-plus-arm-cortex-a53-machine-learning-vision-multimedia-and-industrial-iot:IMX8MPLUS,Official silicon vendor,Camera SoC,Public/registration varies,"ISP, NPU, display, multimedia and industrial support information."
SRC-038,Raspberry Pi Camera Software,https://www.raspberrypi.com/documentation/computers/camera_software.html,Official platform documentation,Camera,Public,"libcamera-based pipeline, sensor controls, tuning and capture tooling."
SRC-039,Raspberry Pi Camera Module 3,https://www.raspberrypi.com/products/camera-module-3/,Official product page,Camera module,Public,Autofocus camera module family and published product characteristics.
SRC-040,libcamera Architecture,https://libcamera.org/introduction.html,Primary project,Camera,Public,"Userspace camera support, pipeline handlers, IPA isolation, controls and metadata."
SRC-041,Panfrost Driver Documentation,https://docs.mesa3d.org/drivers/panfrost.html,Primary project documentation,GPU,Public,Open-source Mali userspace driver scope and supported architectures.
SRC-042,Linux DRM GPU Driver Developer Guide,https://docs.kernel.org/gpu/drm-internals.html,Primary kernel documentation,Graphics prior art,Public,"Display/GPU subsystem concepts; reference only, not a native Agent OS ABI."
SRC-043,HDR+ Burst Photography Paper,https://research.google/pubs/burst-photography-for-high-dynamic-range-and-low-light-imaging-on-mobile-cameras/,Primary research publication,Computational photography,Public,"Burst alignment, merging, and mobile HDR/low-light concepts; not a production Pixel stack release."
SRC-044,Adobe DNG Specification,https://helpx.adobe.com/camera-raw/digital-negative.html,Format owner,Camera format,Public,Portable RAW metadata/container format reference.
SRC-045,ModemManager Documentation,https://modemmanager.org/docs/modemmanager/,Primary project,Cellular prior art,Public,Modem control state machines and protocol/plugin structure; Linux reference only.
SRC-046,libqmi Documentation,https://www.freedesktop.org/wiki/Software/libqmi/,Primary project,Cellular prior art,Public,QMI protocol userspace library and modem control reference.
SRC-047,libmbim Documentation,https://www.freedesktop.org/wiki/Software/libmbim/,Primary project,Cellular prior art,Public,MBIM userspace library and protocol reference.
