id,path,title,wiki_file
AOS-ADR-0001,docs/decisions/ADR-0001-own-microkernel.md,ADR-0001: Build and Own the Microkernel,AOS-ADR-0001.md
AOS-ADR-0002,docs/decisions/ADR-0002-portable-layer-contracts.md,ADR-0002: Portable Layer Contracts,AOS-ADR-0002.md
AOS-ADR-0003,docs/decisions/ADR-0003-parallel-hardware-tracks.md,ADR-0003: Parallel Hardware Tracks,AOS-ADR-0003.md
AOS-ADR-0004,docs/decisions/ADR-0004-pixel9-minimal-legacy.md,ADR-0004: Minimal Android/Linux Use on Pixel 9,AOS-ADR-0004.md
AOS-ADR-0005,docs/decisions/ADR-0005-data-and-backup-classes.md,ADR-0005: Data and Backup Classes,AOS-ADR-0005.md
AOS-ADR-0006,docs/decisions/ADR-0006-working-name-and-trademark.md,ADR-0006: Working Name and Trademark Clearance,AOS-ADR-0006.md
AOS-ARCH-001,docs/architecture/ARCH-001-portable-system-architecture.md,Portable System Architecture,AOS-ARCH-001.md
AOS-ARCH-002,docs/architecture/ARCH-002-microkernel.md,Microkernel Specification,AOS-ARCH-002.md
AOS-ARCH-003,docs/architecture/ARCH-003-process-memory-scheduling.md,"Process, Memory, and Scheduling Model",AOS-ARCH-003.md
AOS-ARCH-004,docs/architecture/ARCH-004-capabilities-and-ipc.md,Capabilities and IPC,AOS-ARCH-004.md
AOS-ARCH-005,docs/architecture/ARCH-005-idl-api-and-versioning.md,"IDL, API, and Versioning",AOS-ARCH-005.md
AOS-ARCH-006,docs/architecture/ARCH-006-drivers-hal-and-board-packages.md,"Drivers, HAL, and Board Packages",AOS-ARCH-006.md
AOS-ARCH-007,docs/architecture/ARCH-007-system-services.md,System Services,AOS-ARCH-007.md
AOS-ARCH-008,docs/architecture/ARCH-008-graphics-compositor-ui.md,"Graphics, Compositor, and UI Runtime",AOS-ARCH-008.md
AOS-ARCH-009,docs/architecture/ARCH-009-storage-entity-history-sync.md,"Storage, Entity Graph, History, and Sync",AOS-ARCH-009.md
