source_doc_id,risk_or_open_question,file
AOS-ARCH-003,Unbounded kernel allocation and priority inheritance create denial-of-service paths.,AOS-ARCH-003.md
AOS-ARCH-003,DMA and shared-memory mappings can bypass process isolation.,AOS-ARCH-003.md
AOS-ARCH-003,Power-aware scheduling can conflict with latency guarantees.,AOS-ARCH-003.md
AOS-ARCH-004,Ambient namespaces reintroduce confused-deputy vulnerabilities.,AOS-ARCH-004.md
AOS-ARCH-004,Global revocation can be unbounded without indirection or lifetime discipline.,AOS-ARCH-004.md
AOS-ARCH-004,Synchronous IPC can create priority inversion or cyclic dependency.,AOS-ARCH-004.md
AOS-ARCH-005,Accidental ABI leakage couples portable layers to one backend.,AOS-ARCH-005.md
AOS-ARCH-005,Schema compatibility does not guarantee semantic compatibility.,AOS-ARCH-005.md
AOS-ARCH-005,Long deprecation windows can preserve insecure behavior.,AOS-ARCH-005.md
AOS-ARCH-007,Undefined ownership and failure semantics create hidden coupling.,AOS-ARCH-007.md
AOS-ARCH-007,Unverified source claims can become architecture accidentally.,AOS-ARCH-007.md
AOS-ARCH-008,GPU firmware and command streams may remain undocumented.,AOS-ARCH-008.md
AOS-ARCH-008,Zero-copy paths can create lifetime and confidentiality errors.,AOS-ARCH-008.md
AOS-ARCH-008,Frame scheduling can damage power and latency.,AOS-ARCH-008.md
AOS-ARCH-009,Raw input logging captures secrets.,AOS-ARCH-009.md
AOS-ARCH-009,Global history can become a surveillance database.,AOS-ARCH-009.md
AOS-ARCH-009,Conflict-free merging cannot preserve transactional invariants automatically.,AOS-ARCH-009.md
AOS-ARCH-010,Prompt injection can redirect authority.,AOS-ARCH-010.md
AOS-ARCH-010,Provider descriptions can misstate external effects.,AOS-ARCH-010.md
AOS-ARCH-010,Receipts without enforcement become cosmetic audit logs.,AOS-ARCH-010.md
AOS-ARCH-012,Agents increase the blast radius of confused authority.,AOS-ARCH-012.md
AOS-ARCH-012,Supply-chain compromise can bypass runtime isolation.,AOS-ARCH-012.md
AOS-ARCH-012,Debug and trace facilities can leak data or weaken secure boot.,AOS-ARCH-012.md
AOS-ARCH-013,A partially updated system can be unrecoverable.,AOS-ARCH-013.md
AOS-ARCH-013,Vendor firmware rollback rules may conflict with project recovery.,AOS-ARCH-013.md
AOS-ARCH-013,Development unlock paths can weaken production guarantees.,AOS-ARCH-013.md
AOS-ARCH-014,Undocumented PMIC and firmware sequencing can damage reliability.,AOS-ARCH-014.md
AOS-ARCH-014,Background agents can create persistent wakeups.,AOS-ARCH-014.md
AOS-ARCH-014,Thermal throttling can invalidate performance claims.,AOS-ARCH-014.md
AOS-ARCH-015,Passing mocks can conceal backend divergence.,AOS-ARCH-015.md
AOS-ARCH-015,Benchmarks without thermal/power/configuration metadata are not comparable.,AOS-ARCH-015.md
AOS-ARCH-015,Verification scope can be overstated.,AOS-ARCH-015.md
AOS-ARCH-016,Vendor firmware and undocumented power sequences can block a native port.,AOS-ARCH-016.md
AOS-ARCH-016,DMA isolation may be absent or incomplete on low-cost hardware.,AOS-ARCH-016.md
AOS-ARCH-016,Driver restart can corrupt device or persistent state unless recovery is idempotent.,AOS-ARCH-016.md
AOS-ARCH-017,A partially updated system can be unrecoverable.,AOS-ARCH-017.md
AOS-ARCH-017,Vendor firmware rollback rules may conflict with project recovery.,AOS-ARCH-017.md
AOS-ARCH-017,Development unlock paths can weaken production guarantees.,AOS-ARCH-017.md
AOS-ARCH-018,A temporary bridge can become permanent through schedule pressure.,AOS-ARCH-018.md
AOS-ARCH-018,Factory images and firmware may restrict redistribution or reverse engineering.,AOS-ARCH-018.md
